1,BLINDING LIGHTS,The Weeknd,38959007,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,THE BOX,Roddy Ricch,36721509,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,DANCE MONKEY,Tones And I,33770756,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,DON'T START NOW,Dua Lipa,30233523,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,INTENTIONS (FEAT. QUAVO),Justin Bieber,24846055,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,SAY SO,Doja Cat,24636152,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
7,FALLING,Trevor Daniel,23410869,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,TUSA,KAROL G,23183142,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,SAFAERA,Bad Bunny,22886729,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
10,LA DIFÍCIL,Bad Bunny,22423602,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
11,ROXANNE,Arizona Zervas,22071850,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,DEATH BED (COFFEE FOR YOUR HEAD),Powfu,21204677,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,SI VEO A TU MAMÁ,Bad Bunny,19948575,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
14,GODZILLA (FEAT. JUICE WRLD),Eminem,19896600,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
15,ROSES - IMANBEK REMIX,SAINt JHN,19252262,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
16,IGNORANTES,Bad Bunny,18670822,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
17,BLUEBERRY FAYGO,Lil Mosey,18598886,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
18,CIRCLES,Post Malone,18564709,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
19,SUNDAY BEST,Surfaces,18489291,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
