48,BLACK SWAN,BTS,11138985,https://open.spotify.com/track/24NuEDgyRIljwSyY0lsr7b
49,BANDIT (WITH YOUNGBOY NEVER BROKE AGAIN),Juice WRLD,11089138,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
50,ROSES - IMANBEK REMIX,SAINt JHN,10801380,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
51,MUÉVELO,Nicky Jam,10748866,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
52,ME GUSTA,Shakira,10557732,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
53,BEAUTIFUL PEOPLE (FEAT. KHALID),Ed Sheeran,10221539,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
54,LOVELY (WITH KHALID),Billie Eilish,10208670,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,HIGH FASHION (FEAT. MUSTARD),Roddy Ricch,10068077,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
56,LUCID DREAMS,Juice WRLD,10016489,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
58,IF THE WORLD WAS ENDING - FEAT. JULIA MICHAELS,JP Saxe,9450324,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
59,WHINE UP,Nicky Jam,9283635,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
60,7 RINGS,Ariana Grande,8930240,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
61,LALALA,Y2K,8883262,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
62,THOSE KINDA NIGHTS (FEAT. ED SHEERAN),Eminem,8792427,https://open.spotify.com/track/0VSzREd1OjEWJ9tXoFHRQH
63,NO ME CONOCE - REMIX,Jhay Cortez,8785272,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
64,LA CANCIÓN,J Balvin,8770582,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
65,TOES (FEAT. LIL BABY & MONEYBAGG YO),DaBaby,8695982,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
66,FUTSAL SHUFFLE 2020,Lil Uzi Vert,8669510,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
67,ELEVEN,Khalid,8656151,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
68,CALLAITA,Bad Bunny,8426910,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
69,SOUTH OF THE BORDER (FEAT. CAMILA CABELLO & CARDI B),Ed Sheeran,8400874,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
70,ADICTO (WITH ANUEL AA & OZUNA),Tainy,8342011,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
71,HEARTLESS,The Weeknd,8152099,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
72,SHALLOW,Lady Gaga,8117633,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
73,OLD TOWN ROAD - REMIX,Lil Nas X,8097306,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
74,TRAMPOLINE (WITH ZAYN),SHAED,8077007,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
75,GOODBYES (FEAT. YOUNG THUG),Post Malone,8026103,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
76,IT'S YOU,Ali Gatie,7992128,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
77,VIBEZ,DaBaby,7907321,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
78,HIGHEST IN THE ROOM (FEAT. ROSALÍA & LIL BABY) - REMIX,Travis Scott,7794095,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
79,BLANCO,J Balvin,7787228,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
80,FOREVER YOURS - AVICII TRIBUTE,Kygo,7724277,https://open.spotify.com/track/3o1CUVeHIid49sabk6A6Nf
81,HOW DO YOU SLEEP?,Sam Smith,7684194,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
82,DARKNESS,Eminem,7618955,https://open.spotify.com/track/5SiZJoLXp3WOl3J4C8IK0d
83,QUE TIRE PA LANTE,Daddy Yankee,7544026,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
84,WITHOUT ME,Halsey,7529279,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
85,OWN IT (FEAT. ED SHEERAN & BURNA BOY),Stormzy,7480165,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
86,AVENTURA,Lunay,7451093,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
87,RANSOM,Lil Tecca,7416638,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
88,SUNDAY BEST,Surfaces,7413076,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
89,OUT WEST (FEAT. YOUNG THUG),JACKBOYS,7369641,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
90,YELLOW HEARTS,Ant Saunders,7301052,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
91,BURY A FRIEND,Billie Eilish,7280093,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
93,HAPPIER,Marshmello,7237539,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
94,JULY,Noah Cyrus,7182043,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
