1,DANCE MONKEY,Tones And I,52055226,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,THE BOX,Roddy Ricch,46771676,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,LIFE IS GOOD (FEAT. DRAKE),Future,39404104,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
4,YUMMY,Justin Bieber,38715310,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
5,TUSA,KAROL G,34288744,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,ROXANNE,Arizona Zervas,34104838,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
7,BLINDING LIGHTS,The Weeknd,31993009,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
8,DON'T START NOW,Dua Lipa,29149812,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,FALLING,Trevor Daniel,28908175,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
10,MEMORIES,Maroon 5,26277252,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
11,CIRCLES,Post Malone,25667531,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,RARE,Selena Gomez,23340577,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
13,EVERYTHING I WANTED,Billie Eilish,23297771,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,LOSE YOU TO LOVE ME,Selena Gomez,22076272,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
15,RITMO (BAD BOYS FOR LIFE),Black Eyed Peas,20909467,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
16,SEÑORITA,Shawn Mendes,20909086,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
17,SOMEONE YOU LOVED,Lewis Capaldi,20259941,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,GOOD NEWS,Mac Miller,19228184,https://open.spotify.com/track/3ClBKQkKoaUQ6UOhe2xlJK
19,ADORE YOU,Harry Styles,18211634,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
20,MY OH MY (FEAT. DABABY),Camila Cabello,17668679,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
21,BAD GUY,Billie Eilish,17298521,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
22,HOT GIRL BUMMER,blackbear,16304825,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
23,BOP,DaBaby,15678826,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
24,YOU SHOULD BE SAD,Halsey,15478659,https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao
25,VETE,Bad Bunny,15078547,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
26,RIDE IT,Regard,14866701,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
27,SIGUES CON EL,Dímelo Flow,14315310,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
28,BEFORE YOU GO,Lewis Capaldi,14202354,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
29,WATERMELON SUGAR,Harry Styles,14108205,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,NO IDEA,Don Toliver,13905621,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
31,HIGHEST IN THE ROOM,Travis Scott,13387615,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
32,SUICIDAL,YNW Melly,12823591,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
33,I DON'T CARE (WITH JUSTIN BIEBER),Ed Sheeran,12667694,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
