1,BLINDING LIGHTS,The Weeknd,43316941,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,THE BOX,Roddy Ricch,39070218,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,DANCE MONKEY,Tones And I,38072447,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,DON'T START NOW,Dua Lipa,33460126,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,INTENTIONS (FEAT. QUAVO),Justin Bieber,29542408,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,IGNORANTES,Bad Bunny,29245976,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
7,LA DIFÍCIL,Bad Bunny,27543705,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
8,TUSA,KAROL G,27008232,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,SI VEO A TU MAMÁ,Bad Bunny,26149940,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,SAY SO,Doja Cat,25776622,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
11,FALLING,Trevor Daniel,25772863,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,ROXANNE,Arizona Zervas,24637369,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,STUPID LOVE,Lady Gaga,24400673,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
14,LA SANTA,Bad Bunny,21283293,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
15,VETE,Bad Bunny,21120084,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
16,NO TIME TO DIE,Billie Eilish,19928494,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
17,CIRCLES,Post Malone,19907615,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,YUMMY,Justin Bieber,19852847,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
19,LIFE IS GOOD (FEAT. DRAKE),Future,19636667,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
20,SOMEONE YOU LOVED,Lewis Capaldi,19361108,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,EVERYTHING I WANTED,Billie Eilish,18851747,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,MEMORIES,Maroon 5,18238529,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,GODZILLA (FEAT. JUICE WRLD),Eminem,17860713,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
24,AFTER HOURS,The Weeknd,17441043,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
25,ROSES - IMANBEK REMIX,SAINt JHN,17283281,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
26,BLUEBERRY FAYGO,Lil Mosey,17094530,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
27,SUNDAY BEST,Surfaces,17010674,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
28,ADORE YOU,Harry Styles,16982508,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,PERO YA NO,Bad Bunny,16283183,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
30,BAD GUY,Billie Eilish,15728150,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,DEATH BED (COFFEE FOR YOUR HEAD),Powfu,15647476,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
32,YO PERREO SOLA,Bad Bunny,15245370,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
33,ROJO,J Balvin,15186977,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
34,BEFORE YOU GO,Lewis Capaldi,14835609,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
35,YOU SHOULD BE SAD,Halsey,14829383,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
36,SEÑORITA,Shawn Mendes,14694421,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
37,PHYSICAL,Dua Lipa,14266925,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
38,SAFAERA,Bad Bunny,14151879,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
39,SIGUES CON EL,Dímelo Flow,14051875,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
40,RITMO (BAD BOYS FOR LIFE),Black Eyed Peas,13934542,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
41,MY OH MY (FEAT. DABABY),Camila Cabello,13867463,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
42,MORAL OF THE STORY,Ashe,13675094,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
43,MORADO,J Balvin,13652244,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
44,BICHIYAL,Bad Bunny,12612985,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
45,SOLIÁ,Bad Bunny,12531015,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
46,RENÉ,Residente,12359067,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
47,HIGH FASHION (FEAT. MUSTARD),Roddy Ricch,12159026,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
48,LOSE CONTROL,MEDUZA,12156841,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
49,THAT WAY,Lil Uzi Vert,12059592,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
50,FOREVER (FEAT. POST MALONE & CLEVER),Justin Bieber,11851600,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
51,RIDE IT,Regard,11367332,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
52,A TU MERCED,Bad Bunny,11349696,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
53,HOLA - REMIX,Dalex,11347665,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
54,TO DIE FOR,Sam Smith,11192680,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
55,ESTÁ CABRÓN SER YO,Bad Bunny,11110403,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
56,ON,BTS,10858765,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
57,QUE MALO,Bad Bunny,10834802,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
58,DIOSA,Myke Towers,10727725,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
59,WHATS POPPIN,Jack Harlow,10661717,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
60,LA ZONA,Bad Bunny,10658439,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
61,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,Post Malone,10538467,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
62,I DON'T CARE (WITH JUSTIN BIEBER),Ed Sheeran,10459363,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
63,25/8,Bad Bunny,10436057,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
64,KEII,Anuel AA,10323208,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
65,HEATIN UP (FEAT. GUNNA),Lil Baby,10048849,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
66,<3,Bad Bunny,9947019,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
67,HOT GIRL BUMMER,blackbear,9844266,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
68,WHAT A MAN GOTTA DO,Jonas Brothers,9736693,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
69,UNA VEZ,Bad Bunny,9732627,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
70,HABLAMOS MAÑANA,Bad Bunny,9597020,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
71,MUÉVELO,Nicky Jam,9453916,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
72,10000 HOURS (WITH JUSTIN BIEBER),Dan + Shay,9441982,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
73,WHAT IF I TOLD YOU THAT I LOVE YOU,Ali Gatie,9349345,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
74,SUICIDAL,YNW Melly,9199949,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
75,LOVELY (WITH KHALID),Billie Eilish,9140612,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
76,BALLIN' (WITH RODDY RICCH),Mustard,9110293,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
77,WOAH,Lil Baby,9067344,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
78,KNOW YOUR WORTH,Khalid,8890835,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
79,BEAUTIFUL PEOPLE (FEAT. KHALID),Ed Sheeran,8881591,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
80,SHALLOW,Lady Gaga,8876984,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
81,THE OTHER SIDE (FROM TROLLS WORLD TOUR),SZA,8874869,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
82,HIGHEST IN THE ROOM,Travis Scott,8830589,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
83,CITY OF ANGELS,24kGoldn,8758154,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
84,ON (FEAT. SIA),BTS,8747101,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
85,LA CANCIÓN,J Balvin,8728508,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
86,WHEN THE PARTY'S OVER,Billie Eilish,8709444,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
87,TATTOO,Rauw Alejandro,8518116,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
88,FANTASIAS,Rauw Alejandro,8515984,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
89,FEEL ME,Selena Gomez,8505342,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
