1,BLINDING LIGHTS,The Weeknd,46779503,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,DON'T START NOW,Dua Lipa,37779776,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
3,ROSES - IMANBEK REMIX,SAINt JHN,32190834,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,THE BOX,Roddy Ricch,31653811,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,DANCE MONKEY,Tones And I,29885504,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,DEATH BED (COFFEE FOR YOUR HEAD),Powfu,27959285,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,BREAK MY HEART,Dua Lipa,25320233,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
8,SAY SO,Doja Cat,24515508,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
9,INTENTIONS (FEAT. QUAVO),Justin Bieber,23456128,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
10,BLUEBERRY FAYGO,Lil Mosey,23094739,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
11,SAFAERA,Bad Bunny,22596514,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
12,PHYSICAL,Dua Lipa,22306618,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
13,FALLING,Trevor Daniel,21724066,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,IN YOUR EYES,The Weeknd,20507952,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
15,SUNDAY BEST,Surfaces,19929893,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
16,ROXANNE,Arizona Zervas,18770515,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,SUPALONELY,BENEE,18644274,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
18,TUSA,KAROL G,18024557,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
19,SOMEONE YOU LOVED,Lewis Capaldi,17093304,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,CIRCLES,Post Malone,16491197,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
21,ROJO,J Balvin,16476452,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi
22,BELIEVE IT,PARTYNEXTDOOR,15809393,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
23,LA DIFÍCIL,Bad Bunny,15660984,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
24,YO PERREO SOLA,Bad Bunny,15254475,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
25,TURKS (FEAT. TRAVIS SCOTT),NAV,15141854,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
26,ADORE YOU,Harry Styles,14850291,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,MEMORIES,Maroon 5,14317781,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,SAVAGE,Megan Thee Stallion,14264460,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
29,AFTER HOURS,The Weeknd,14167539,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
30,GODZILLA (FEAT. JUICE WRLD),Eminem,14046433,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
31,SI VEO A TU MAMÁ,Bad Bunny,13787410,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
32,IGNORANTES,Bad Bunny,13180060,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
