1,DANCE MONKEY,Tones And I,50241241,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,YUMMY,Justin Bieber,36772939,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
3,ROXANNE,Arizona Zervas,33546219,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
4,THE BOX,Roddy Ricch,32333490,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,TUSA,KAROL G,29519007,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
6,BLINDING LIGHTS,The Weeknd,29198353,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
7,FALLING,Trevor Daniel,28253241,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
8,DON'T START NOW,Dua Lipa,27338884,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,MEMORIES,Maroon 5,27008690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
10,CIRCLES,Post Malone,26365136,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,EVERYTHING I WANTED,Billie Eilish,23713150,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
12,SEÑORITA,Shawn Mendes,21757299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,RITMO (BAD BOYS FOR LIFE),Black Eyed Peas,20528253,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
14,SOMEONE YOU LOVED,Lewis Capaldi,19959201,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,MY OH MY (FEAT. DABABY),Camila Cabello,19300578,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
16,ADORE YOU,Harry Styles,19186086,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
17,BAD GUY,Billie Eilish,17816634,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
18,LOSE YOU TO LOVE ME,Selena Gomez,17572597,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
19,HOT GIRL BUMMER,blackbear,16238889,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
20,RIDE IT,Regard,15539132,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
21,WATERMELON SUGAR,Harry Styles,15046960,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
22,VETE,Bad Bunny,14566103,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
23,BOP,DaBaby,14405376,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
24,BEFORE YOU GO,Lewis Capaldi,13868353,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
25,HIGHEST IN THE ROOM,Travis Scott,13543851,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
26,NO IDEA,Don Toliver,13518622,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
27,HEARTLESS,The Weeknd,13269565,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
28,SUNFLOWER - SPIDER-MAN: INTO THE SPIDER-VERSE,Post Malone,13163070,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
29,I DON'T CARE (WITH JUSTIN BIEBER),Ed Sheeran,12813311,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
30,CHINA,Anuel AA,12514282,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
31,BANDIT (WITH YOUNGBOY NEVER BROKE AGAIN),Juice WRLD,12474717,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
32,FUTSAL SHUFFLE 2020,Lil Uzi Vert,11944895,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
33,FANTASIAS,Rauw Alejandro,11762509,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
34,LOSE CONTROL,MEDUZA,11755653,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
35,BEAUTIFUL PEOPLE (FEAT. KHALID),Ed Sheeran,11732877,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
36,LUCID DREAMS,Juice WRLD,11544388,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
37,AYY MACARENA,Tyga,11467917,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
38,HIGHEST IN THE ROOM (FEAT. ROSALÍA & LIL BABY) - REMIX,Travis Scott,11407061,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn
39,HOW DO YOU SLEEP?,Sam Smith,11167592,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
40,SIGUES CON EL,Dímelo Flow,10960019,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
41,SOUTH OF THE BORDER (FEAT. CAMILA CABELLO & CARDI B),Ed Sheeran,10739494,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
42,BALLIN' (WITH RODDY RICCH),Mustard,10698504,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
43,HOLA - REMIX,Dalex,10642027,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
45,SUICIDAL,YNW Melly,10385449,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
46,TRAMPOLINE (WITH ZAYN),SHAED,10185403,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
47,7 RINGS,Ariana Grande,10083773,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
48,LA CANCIÓN,J Balvin,9977833,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
49,LALALA,Y2K,9728409,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
